==== LOOP START 2026-08-10T17:37:37+00:00 iters=1..7 min_free=35000 ====
==== Iteration 1 2026-08-10T17:37:37+00:00 ====
MSA already present for Iteration 1
Wrote ColabFold command list: /lambda/nfs/file2/jrf/AlloDesigner/allo_stepwise/generated/iteration_1_colabfold_commands.sh
[2026-08-10T17:37:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:38:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:39:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:40:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:41:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:42:41+00:00] GPU free=3269 MiB (need >= 35000)
[2026-08-10T17:43:41+00:00] GPU free=2411 MiB (need >= 35000)
[2026-08-10T17:44:41+00:00] GPU free=2411 MiB (need >= 35000)
[2026-08-10T17:45:41+00:00] GPU free=2411 MiB (need >= 35000)
[2026-08-10T17:46:41+00:00] GPU free=4821 MiB (need >= 35000)
[2026-08-10T17:47:41+00:00] GPU free=3611 MiB (need >= 35000)
[2026-08-10T17:48:41+00:00] GPU free=3383 MiB (need >= 35000)
[2026-08-10T17:49:41+00:00] GPU free=3383 MiB (need >= 35000)
[2026-08-10T17:50:41+00:00] GPU free=3383 MiB (need >= 35000)
[2026-08-10T17:51:41+00:00] GPU free=3383 MiB (need >= 35000)
[2026-08-10T17:52:41+00:00] GPU free=286 MiB (need >= 35000)
[2026-08-10T17:53:41+00:00] GPU free=286 MiB (need >= 35000)
[2026-08-10T17:54:41+00:00] GPU free=286 MiB (need >= 35000)
[2026-08-10T17:55:41+00:00] GPU free=286 MiB (need >= 35000)
[2026-08-10T17:56:41+00:00] GPU free=286 MiB (need >= 35000)
[2026-08-10T17:57:41+00:00] GPU free=284 MiB (need >= 35000)
[2026-08-10T17:58:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T17:59:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T18:00:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T18:01:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T18:02:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T18:03:41+00:00] GPU free=282 MiB (need >= 35000)
[2026-08-10T18:04:41+00:00] GPU free=2717 MiB (need >= 35000)
[2026-08-10T18:05:42+00:00] GPU free=2717 MiB (need >= 35000)
[2026-08-10T18:06:42+00:00] GPU free=2717 MiB (need >= 35000)
[2026-08-10T18:07:42+00:00] GPU free=2717 MiB (need >= 35000)
[2026-08-10T18:08:42+00:00] GPU free=2717 MiB (need >= 35000)
[2026-08-10T18:09:42+00:00] GPU free=2687 MiB (need >= 35000)
[2026-08-10T18:10:42+00:00] GPU free=2687 MiB (need >= 35000)
[2026-08-10T18:11:42+00:00] GPU free=2687 MiB (need >= 35000)
[2026-08-10T18:12:42+00:00] GPU free=2687 MiB (need >= 35000)
[2026-08-10T18:13:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:14:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:15:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:16:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:17:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:18:42+00:00] GPU free=1354 MiB (need >= 35000)
[2026-08-10T18:19:42+00:00] GPU free=2591 MiB (need >= 35000)
[2026-08-10T18:20:42+00:00] GPU free=1382 MiB (need >= 35000)
[2026-08-10T18:21:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:22:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:23:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:24:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:25:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:26:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:27:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:28:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:29:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:30:42+00:00] GPU free=1040 MiB (need >= 35000)
[2026-08-10T18:31:42+00:00] GPU free=1382 MiB (need >= 35000)
[2026-08-10T18:32:42+00:00] GPU free=1154 MiB (need >= 35000)
[2026-08-10T18:33:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:34:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:35:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:36:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:37:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:38:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:39:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:40:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:41:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:42:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:43:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:44:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:45:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:46:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:47:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:48:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:49:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:50:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:51:43+00:00] GPU free=836 MiB (need >= 35000)
[2026-08-10T18:52:43+00:00] GPU free=1154 MiB (need >= 35000)
[2026-08-10T18:53:43+00:00] GPU free=924 MiB (need >= 35000)
[2026-08-10T18:54:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T18:55:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T18:56:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T18:57:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T18:58:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T18:59:43+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T19:00:44+00:00] GPU free=4333 MiB (need >= 35000)
[2026-08-10T19:01:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:02:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:03:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:04:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:05:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:06:44+00:00] GPU free=2552 MiB (need >= 35000)
[2026-08-10T19:07:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:08:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:09:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:10:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:11:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:12:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:13:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:14:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:15:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:16:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:17:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:18:44+00:00] GPU free=3108 MiB (need >= 35000)
[2026-08-10T19:19:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:20:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:21:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:22:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:23:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:24:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:25:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:26:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:27:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:28:44+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:29:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:30:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:31:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:32:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:33:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:34:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:35:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:36:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:37:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:38:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:39:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:40:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:41:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:42:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:43:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:44:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:45:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:46:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:47:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:48:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:49:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:50:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:51:45+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:52:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:53:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:54:46+00:00] GPU free=4219 MiB (need >= 35000)
[2026-08-10T19:55:46+00:00] GPU free=4219 MiB (need >= 35000)
